user_id,total_transactions,avg_spend,spend_std,late_night_ratio,month_end_ratio,salary_day_ratio,mobile_ratio,online_ratio,upi_ratio,impulse_risk_score,risk_level,cluster,behaviour_profile,recommendation,simulated_risk_score,risk_explanation,simulated_risk_if_late_night_increases
U001,151,1673.8013245033112,1279.462923885735,0.31788079470198677,0.16556291390728478,0.08609271523178808,0.8013245033112583,0.695364238410596,0.5298013245033113,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U002,190,1635.721052631579,1004.4290600094555,0.38421052631578945,0.15789473684210525,0.09473684210526316,0.8368421052631579,0.6157894736842106,0.5105263157894737,35,Medium,1,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U003,110,1881.7727272727273,1328.1048072595356,0.2909090909090909,0.20909090909090908,0.1,0.7909090909090909,0.6363636363636364,0.509090909090909,15,Low,0,Controlled Planner,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U004,192,1772.4427083333333,1302.0539500524078,0.34375,0.21875,0.13541666666666666,0.7708333333333334,0.609375,0.4791666666666667,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U005,191,1823.0994764397906,1287.3764940454587,0.33507853403141363,0.225130890052356,0.1099476439790576,0.7905759162303665,0.680628272251309,0.5235602094240838,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U006,118,1692.2881355932204,1119.0023953114369,0.3050847457627119,0.211864406779661,0.0847457627118644,0.7711864406779662,0.5847457627118644,0.5254237288135594,20,Low,2,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U007,146,1695.390410958904,894.6920439037431,0.2876712328767123,0.17123287671232876,0.07534246575342465,0.821917808219178,0.6986301369863014,0.5136986301369864,15,Low,1,Impulsive Micro-Spender,Disable one-click payments on mobile apps.,35,Frequent mobile purchases,35
U008,125,1647.8,1296.7952869011488,0.368,0.16,0.12,0.744,0.6,0.496,20,Low,2,Emotional Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,20,"High late-night spending, Frequent mobile purchases",20
U009,194,1782.0670103092784,1075.9012516297082,0.3402061855670103,0.17010309278350516,0.0979381443298969,0.845360824742268,0.6649484536082474,0.4948453608247423,35,Medium,3,Impulsive Micro-Spender,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
U010,136,1774.9558823529412,1427.4488087994328,0.34558823529411764,0.19852941176470587,0.08823529411764706,0.8382352941176471,0.6911764705882353,0.5073529411764706,35,Medium,0,Controlled Planner,Limit late-night spending and enable app cooldown periods. Disable one-click payments on mobile apps.,35,"High late-night spending, Frequent mobile purchases",35
